time,symbol,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume
70528,ETH/USDT,174.55,169.63,171.51,10.0,171.56,10.4587,171.98245463,171.55,171.56,171.56,171.64,0.01,0.006,,444873.8642,76510499.1650781
70538,ETH/USDT,174.55,169.63,171.49,0.41512,171.5,9.73577,171.98262049,171.49,171.49,171.49,171.45,0.0,0.0,,444718.58547,76483867.7075316
70548,ETH/USDT,174.55,169.63,171.42,10.27565,171.43,20.14386,171.98268285,171.4,171.43,171.43,171.4,0.03,0.017,,444672.61676,76475989.6208545
70559,ETH/USDT,174.55,169.63,171.37,10.0,171.38,1.85767,171.98271193,171.37,171.35,171.35,171.43,-0.02,-0.012,,444645.06307,76471263.7915196
70569,ETH/USDT,174.55,169.63,171.38,10.0,171.39,0.27574,171.98268676,171.4,171.37,171.37,171.43,-0.03,-0.017,,444662.88221,76474317.185568
70579,ETH/USDT,174.55,169.63,171.39,10.0,171.43,22.43415,171.98264335,171.38,171.39,171.39,171.41,0.01,0.006,,444696.30273,76480045.6330203
70589,ETH/USDT,174.55,169.63,171.4,10.0,171.43,0.00047,171.98266576,171.46,171.43,171.43,171.48,-0.03,-0.017,,444677.87394,76476886.164362
70599,ETH/USDT,174.55,169.63,171.36,10.0,171.37,1.40358,171.98266026,171.5,171.36,171.36,171.49,-0.14,-0.082,,444680.82321,76477390.9439188
70609,ETH/USDT,174.55,169.63,171.28,16.0,171.29,9.99526,171.98252665,171.49,171.28,171.28,171.55,-0.21,-0.122,,444766.51693,76492069.351911
70619,ETH/USDT,174.55,169.63,171.27,16.0,171.29,1.98194,171.98260118,171.55,171.26,171.26,171.57,-0.29,-0.169,,444678.62628,76476986.8348436
70630,ETH/USDT,174.55,169.63,171.27,13.46161,171.32,0.27513,171.98261958,171.52,171.26,171.26,171.52,-0.26,-0.152,,444658.67583,76473563.8903763
70640,ETH/USDT,174.55,169.63,171.39,22.53586,171.4,12.64471,171.98258308,171.42,171.39,171.39,171.43,-0.03,-0.017,,444672.50586,76475926.1839448
70650,ETH/USDT,174.55,169.63,171.31,10.0,171.36,10.0,171.98248397,171.44,171.34,171.34,171.46,-0.1,-0.058,,444730.76864,76485902.2867331
70660,ETH/USDT,174.55,169.63,171.23,0.72804,171.25,1.579,171.98179102,171.5,171.25,171.25,171.49,-0.25,-0.146,,445122.28966,76552928.600091
70670,ETH/USDT,174.55,169.63,171.23,87.84277,171.25,10.0,171.98178622,171.5,171.23,171.23,171.51,-0.27,-0.157,,445114.82008,76551641.8281336
70680,ETH/USDT,174.55,169.63,171.17,10.0,171.18,2.20306,171.98163428,171.48,171.18,171.18,171.45,-0.3,-0.175,,445197.35151,76565768.0914006
70691,ETH/USDT,174.55,169.63,171.29,12.13011,171.33,2.19335,171.98155007,171.53,171.33,171.33,171.5,-0.2,-0.117,,445228.80625,76571140.2358658
70701,ETH/USDT,174.55,169.63,171.26,16.0,171.31,14.11748,171.98149819,171.5,171.25,171.25,171.54,-0.25,-0.146,,445253.85379,76575424.847888
70711,ETH/USDT,174.55,169.63,171.18,10.0,171.21,0.54949,171.98150742,171.54,171.21,171.21,171.54,-0.33,-0.192,,445240.12855,76573068.4698209
70721,ETH/USDT,174.55,169.63,171.22,1.819,171.27,3.89555,171.9815492,171.46,171.21,171.21,171.47,-0.25,-0.146,,445196.53728,76565590.1778345
70731,ETH/USDT,174.55,169.63,171.24,19.2692,171.28,0.49339,171.98192788,171.35,171.24,171.24,171.39,-0.11,-0.064,,444902.16989,76515132.8950779
70741,ETH/USDT,174.55,169.63,171.3,26.71629,171.31,3.14709,171.98260139,170.99,171.31,171.31,170.94,0.32,0.187,,444573.62797,76458929.0472323
70751,ETH/USDT,174.55,169.63,171.38,1.75452,171.42,0.275,171.98303764,171.14,171.38,171.38,171.13,0.24,0.14,,444374.76864,76424922.5613434
70762,ETH/USDT,174.55,169.63,171.39,2.00243,171.41,0.14626,171.9832644,171.22,171.35,171.35,171.19,0.13,0.076,,444250.1994,76403599.5031627
70772,ETH/USDT,174.55,169.63,171.37,0.17557,171.41,0.67126,171.98327102,171.11,171.36,171.36,171.1,0.25,0.146,,444246.77632,76403013.7333624
70782,ETH/USDT,174.55,169.63,171.35,1.41547,171.41,3.52905,171.98327471,171.11,171.41,171.41,171.11,0.3,0.175,,444269.49524,76406922.6429599
