time,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last
85541,12.6426,11.3184,12.3412,9.28,12.3525,470.0,11.9701037,11.4037,12.3416,12.3416
85542,12.6426,11.3184,12.3421,4.08,12.3542,40.3,11.97010609,11.4037,12.3544,12.3544
85543,12.6426,11.3184,12.343,46.6,12.3563,28.86,11.97010784,11.4037,12.3571,12.3571
85545,12.6426,11.3184,12.3437,59.0,12.357,4.08,11.9701108,11.4037,12.3437,12.3437
85546,12.6426,11.3184,12.3447,4.08,12.3572,306.43,11.97011201,11.4037,12.3572,12.3572
85547,12.6426,11.3184,12.3446,56.05,12.3497,4.08,11.97020002,11.412,12.3446,12.3446
85548,12.6426,11.3184,12.3453,58.23,12.3565,3.06,11.9703375,11.4108,12.3453,12.3453
85549,12.6426,11.3184,12.3445,4.09,12.354,3.06,11.97033869,11.4108,12.3506,12.3506
85551,12.6426,11.3184,12.3421,4.09,12.352,2.94,11.97034161,11.4108,12.3519,12.3519
85552,12.6426,11.3184,12.3425,59.14,12.3564,2.92,11.97034343,11.4108,12.3425,12.3425
85553,12.6426,11.3184,12.3429,62.66,12.3565,4.08,11.97034869,11.4107,12.3562,12.3562
85554,12.6426,11.3184,12.3547,8.32,12.3622,2.46,11.97039689,11.4098,12.3625,12.3625
85555,12.6426,11.3184,12.3508,57.26,12.3617,4.08,11.97041011,11.4063,12.3508,12.3508
85556,12.6426,11.3184,12.3509,8.46,12.3617,4.08,11.9704803,11.4172,12.3508,12.3508
85558,12.6426,11.3184,12.3508,51.53,12.3613,7.71,11.97048397,11.4172,12.3616,12.3616
85559,12.6426,11.3184,12.3511,61.44,12.3616,423.51,11.97048896,11.4104,12.3616,12.3616
85560,12.6426,11.3184,12.3528,61.85,12.3586,354.0,11.97049421,11.4104,12.363,12.363
85561,12.6426,11.3184,12.3539,98.87,12.3625,3.22,11.97049689,11.4102,12.3586,12.3586
85562,12.6426,11.3184,12.3525,59.78,12.3625,2.61,11.97050064,11.4071,12.3525,12.3525
85563,12.6426,11.3184,12.3518,4.56,12.3625,127.49,11.97050309,11.4071,12.3625,12.3625
85565,12.6426,11.3184,12.3518,4.56,12.3621,11.82,11.97050486,11.4071,12.3622,12.3622
85566,12.6426,11.3184,12.3508,48.14,12.3612,4.56,11.97054261,11.4094,12.3508,12.3508
85567,12.6426,11.3184,12.3516,4.5,12.3618,7.59,11.97054383,11.4094,12.3621,12.3621
85568,12.6426,11.3184,12.3524,2.47,12.3616,1.62,11.9705462,11.4083,12.352,12.352
85569,12.6426,11.3184,12.3541,0.61,12.363,3.47,11.97054893,11.4083,12.3632,12.3632
85571,12.6426,11.3184,12.3544,4.08,12.364,3.8,11.97056455,11.4083,12.3542,12.3542
85572,12.6426,11.3184,12.3539,4.08,12.3634,44.44,11.97057072,11.408,12.3634,12.3634
85573,12.6426,11.3184,12.3539,4.08,12.3631,31.06,11.97057195,11.408,12.3631,12.3631
85574,12.6426,11.3184,12.3539,4.08,12.3631,16.03,11.97057338,11.4076,12.3631,12.3631
85575,12.6426,11.3184,12.3541,4.08,12.3643,349.76,11.97058351,11.4077,12.3643,12.3643
85576,12.6426,11.3184,12.3543,4.08,12.3635,338.99,11.9705906,11.4073,12.3635,12.3635
85578,12.6426,11.3184,12.3543,4.08,12.3647,308.12,11.97059182,11.4073,12.3639,12.3639
85579,12.6426,11.3184,12.3549,4.08,12.3649,508.72,11.97059305,11.4073,12.3649,12.3649
85580,12.6426,11.3184,12.3549,4.08,12.3648,35.46,11.97059428,11.4073,12.3648,12.3648
85581,12.6426,11.3184,12.3541,4.08,12.3647,293.11,11.97061463,11.4072,12.3647,12.3647
85582,12.6426,11.3184,12.3559,4.08,12.3648,22.61,11.97061586,11.4072,12.3647,12.3647
85583,12.6426,11.3184,12.3555,4.08,12.3649,508.72,11.97061885,11.4072,12.3648,12.3648
